CodigoCompraAgil;RutProveedor;CodigoProducto;NombreProducto;Descripcion;Cantidad;PrecioUnitario;MontoTotalProducto
1057532-508-COT25;79.568.850-1;41115805;Analizadores de gases sanguíneos;ARRIENDO DE 1 EQUIPO ANALIZADOR DE GASES SANGUINEOS / SEGÚN ESPECIFICACIONES ADJUNTAS;1;707000;707000
1057532-500-COT25;77.961.005-5;24112404;Caja;100 CAJA DE ARCHIVO.;100;3150;315000
1057532-500-COT25;76.877.288-6;24112404;Caja;100 CAJA DE ARCHIVO.;100;8900;890000
1057532-506-COT25;77.961.005-5;24112404;Caja;CAJA DE ARCHIVO MEGABOX. MEDIDAS: 45 X 36 X 29,5 cm;10;31500;315000
1057532-506-COT25;79.668.170-5;24112404;Caja;CAJA DE ARCHIVO MEGABOX. MEDIDAS: 45 X 36 X 29,5 cm;10;34890;348900
1057532-506-COT25;77.659.261-7;24112404;Caja;CAJA DE ARCHIVO MEGABOX. MEDIDAS: 45 X 36 X 29,5 cm;10;41930;419300
1057532-506-COT25;76.287.477-6;24112404;Caja;CAJA DE ARCHIVO MEGABOX. MEDIDAS: 45 X 36 X 29,5 cm;10;48000;480000
1057532-506-COT25;78.121.198-2;24112404;Caja;CAJA DE ARCHIVO MEGABOX. MEDIDAS: 45 X 36 X 29,5 cm;10;56340;563400
1057532-506-COT25;78.121.571-6;24112404;Caja;CAJA DE ARCHIVO MEGABOX. MEDIDAS: 45 X 36 X 29,5 cm;10;65400;654000
1057532-506-COT25;77.741.502-6;24112404;Caja;CAJA DE ARCHIVO MEGABOX. MEDIDAS: 45 X 36 X 29,5 cm;10;72504;725040
1057532-498-COT25;76.602.583-8;42222002;Bombas de infusión intravenosa con jeringa;Servicio de Mantención Preventiva Bombas de Infusión Base SAMU Osorno/Según Especificaciones adjuntas/Adjuntar y Completar Archivos Adjuntos.;2;98000;196000
1057532-498-COT25;77.429.003-6;42222002;Bombas de infusión intravenosa con jeringa;Servicio de Mantención Preventiva Bombas de Infusión Base SAMU Osorno/Según Especificaciones adjuntas/Adjuntar y Completar Archivos Adjuntos.;2;168067;336134
1057532-495-COT25;76.183.249-2;82101901;Avisos en radio;Avisos radiales de vacunación escolar, según características técnicas adjuntas.;1;2000;2000
1057532-495-COT25;76.096.095-0;82101901;Avisos en radio;Avisos radiales de vacunación escolar, según características técnicas adjuntas.;1;966387;966387
1057532-495-COT25;76.584.365-0;82101901;Avisos en radio;Avisos radiales de vacunación escolar, según características técnicas adjuntas.;1;1008403;1008403
1057532-495-COT25;81.730.000-6;82101901;Avisos en radio;Avisos radiales de vacunación escolar, según características técnicas adjuntas.;1;1008404;1008404
