CodigoLicitacion;Correlativo;CodigoProducto;CodigoCategoria;Categoria;NombreProducto;DescripcionItem;UnidadMedida;Cantidad;RutGanador;NombreGanador;MontoUnitarioGanador;CantidadAdjudicada
1057532-3-L121;1;50171901;50171900;Alimentos, bebidas y tabaco / Condimentos y preservantes / Salmuera, salsas y aceitunas;Conservas;Conserva Macedonia o Coktel  590 grs (Entrega de 8 tarros Mensuales);Tarro;48.0;76.949.781-1;FELIPE  SAN JUAN  VENTAS    E.I.R.L.;1900.0;48.0
1057532-3-L121;2;50131702;50131700;Alimentos, bebidas y tabaco / Productos lácteos y huevos / Productos de leche y mantequilla;Productos de mantequilla o leche en conserva;Crema Nestle en tarro 236 grs (entrega de 12 tarros mensuales);Tarro;72.0;76.949.781-1;FELIPE  SAN JUAN  VENTAS    E.I.R.L.;1900.0;72.0
1057532-3-L121;3;50161814;50161800;Alimentos, bebidas y tabaco / Chocolates, azúcares, edulcorantes y productos de confitería / Productos de confitería;Dulces con azúcar o sustitutos;Dulce Frugelé en bolsa 430 grs (entrega de 3 bolsas mensuales);Bolsa;18.0;76.949.781-1;FELIPE  SAN JUAN  VENTAS    E.I.R.L.;1800.0;18.0
1057532-3-L121;4;50161814;50161800;Alimentos, bebidas y tabaco / Chocolates, azúcares, edulcorantes y productos de confitería / Productos de confitería;Dulces con azúcar o sustitutos;Frugelé Citric en bolsa 430 grs (entregar 3 bolsas mensuales);Bolsa;18.0;76.949.781-1;FELIPE  SAN JUAN  VENTAS    E.I.R.L.;1800.0;18.0
1057532-3-L121;5;50192301;50192300;Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Postres y decoraciones;Postres preparados;Flan en Polvo bajo en azúcar, de diferentes Sabores(entregar 10 cajas de diferentes sabores mensual);Caja;60.0;76.949.781-1;FELIPE  SAN JUAN  VENTAS    E.I.R.L.;900.0;60.0
1057532-3-L121;6;50192301;50192300;Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Postres y decoraciones;Postres preparados;Gelatina Bajo en Azúcar y de diferentes sabores (entregar 15 cajas mensuales);Caja;90.0;76.949.781-1;FELIPE  SAN JUAN  VENTAS    E.I.R.L.;800.0;90.0
1057532-3-L121;7;50131701;50131700;Alimentos, bebidas y tabaco / Productos lácteos y huevos / Productos de leche y mantequilla;Leche o productos de mantequilla;Leche Condensada 360 grs (entregar 3 tarros mensuales);Tarro;18.0;76.949.781-1;FELIPE  SAN JUAN  VENTAS    E.I.R.L.;1600.0;18.0
1057532-3-L121;8;50131701;50131700;Alimentos, bebidas y tabaco / Productos lácteos y huevos / Productos de leche y mantequilla;Leche o productos de mantequilla;Mantequilla 125 grs (entregar 20 panes mensuales);Gramo;120.0;76.949.781-1;FELIPE  SAN JUAN  VENTAS    E.I.R.L.;1200.0;120.0
1057532-3-L121;9;50221102;50221100;Alimentos, bebidas y tabaco / Cereales y Legumbres / Cereales;Harina de trigo;Polvos de Hornear de 750 grs (entregar 1 Mensual);Tarro;6.0;76.949.781-1;FELIPE  SAN JUAN  VENTAS    E.I.R.L.;4200.0;6.0
1057532-3-L121;10;50221102;50221100;Alimentos, bebidas y tabaco / Cereales y Legumbres / Cereales;Harina de trigo;Sémola de 500 grs (entrega de 2 mensuales);kilogramo;12.0;76.949.781-1;FELIPE  SAN JUAN  VENTAS    E.I.R.L.;1500.0;12.0
1057532-3-L121;11;12164502;12164500;Productos químicos industriales / Aditivos / Aditivos para alimentos y fármacos;Esencias o extractos;Esencia de Vainilla de 500 cc (entregar 1 mensual);Frasco;6.0;76.949.781-1;FELIPE  SAN JUAN  VENTAS    E.I.R.L.;1500.0;6.0
1057532-3-L121;12;50101636;50101600;Alimentos, bebidas y tabaco / Frutas, verduras y frutos secos / Frutas;Fruta estable sin refrigerar;Coco Rollado 250 grs (entrega de 2 bolsas mensuales);Bolsa;12.0;76.949.781-1;FELIPE  SAN JUAN  VENTAS    E.I.R.L.;2500.0;12.0
1057532-3-L121;13;50101716;50101700;Alimentos, bebidas y tabaco / Frutas, verduras y frutos secos / Frutos secos;Semillas o frutos secos con cáscara;Semilla Amapola de kilo (entregar 1 kilo mensuales);Bolsa;6.0;76.949.781-1;FELIPE  SAN JUAN  VENTAS    E.I.R.L.;17000.0;6.0
1057532-3-L121;14;10151605;10151600;Artículos para plantas y animales / Semillas, bulbos y almácigos / Semillas de cereales;Semillas de avena;Avena Instantánea de 900 grs (Entregar 4 cajas mensuales);Caja;24.0;76.949.781-1;FELIPE  SAN JUAN  VENTAS    E.I.R.L.;2800.0;24.0
1057532-3-L121;15;73101614;73101600;Servicios de producción y fabricación industrial / Industrias de plásticos y productos químicos / Producción de productos químicos o fertilizantes;Servicios de fermentos o enzimas;Levadura 500 grs (entrega de 1 mensual);kilogramo;6.0;76.949.781-1;FELIPE  SAN JUAN  VENTAS    E.I.R.L.;2500.0;6.0
1057532-3-L121;16;50101540;50101500;Alimentos, bebidas y tabaco / Frutas, verduras y frutos secos / Verduras;Verduras estables sin refrigerar;Pimentón en Polvo bolsa de 500 grs (entregar 1 mensual);Bolsa;6.0;76.949.781-1;FELIPE  SAN JUAN  VENTAS    E.I.R.L.;2500.0;6.0
1057532-3-L121;17;50201709;50201700;Alimentos, bebidas y tabaco / Bebidas / Café y té;Café instantáneo;Nescafe Descafeinado de 170 grs (entregar 8 tarros mensuales);Tarro;48.0;76.949.781-1;FELIPE  SAN JUAN  VENTAS    E.I.R.L.;4200.0;48.0
1057532-3-L121;18;50221201;50221200;Alimentos, bebidas y tabaco / Cereales y Legumbres / Cereales procesados;Cereales precocidos y listos para comer;Almidón de Maicena de 500 grs (Entregar 4 bolsas mensuales );Bolsa;24.0;76.949.781-1;FELIPE  SAN JUAN  VENTAS    E.I.R.L.;1250.0;48.0
1057532-3-L121;19;50131701;50131700;Alimentos, bebidas y tabaco / Productos lácteos y huevos / Productos de leche y mantequilla;Leche o productos de mantequilla;Leche Evaporada tarro de 400 grs (entregar 3 mensuales );Tarro;18.0;76.949.781-1;FELIPE  SAN JUAN  VENTAS    E.I.R.L.;2500.0;18.0
1057532-3-L121;20;10151701;10151700;Artículos para plantas y animales / Semillas, bulbos y almácigos / Semillas y almácigos de hierbas y forraje;Semillas o almácigos de arroz;Cous Cous Bolsa de 250 grs (Entregar 8 bolsas mensuales);Bolsa;48.0;76.949.781-1;FELIPE  SAN JUAN  VENTAS    E.I.R.L.;2500.0;48.0
1057532-3-L121;21;50101717;50101700;Alimentos, bebidas y tabaco / Frutas, verduras y frutos secos / Frutos secos;Semillas o frutos secos pelados;Pasas Rubias de 1 kilo (entregar 1 kilo mensual);Bolsa;6.0;76.949.781-1;FELIPE  SAN JUAN  VENTAS    E.I.R.L.;7000.0;6.0
1057532-3-L121;22;10151606;10151600;Artículos para plantas y animales / Semillas, bulbos y almácigos / Semillas de cereales;Semillas de sésamo;Semilla Sésamo de 1 kilo (entregar 1 bolsa Mensual);Bolsa;6.0;76.949.781-1;FELIPE  SAN JUAN  VENTAS    E.I.R.L.;12000.0;6.0
1057532-3-L121;23;50151513;50151500;Alimentos, bebidas y tabaco / Aceites y grasas comestibles / Aceites vegetales y grasas comestibles;Aceites de plantas y verduras comestibles;Aceite de Oliva de 1 litro (entrega de 1 litro mensual);Frasco;6.0;76.949.781-1;FELIPE  SAN JUAN  VENTAS    E.I.R.L.;10000.0;6.0
1057532-3-L121;24;51212007;51212000;Medicamentos y productos farmacéuticos / Medicamentos varios / Fármacos herbales;Ajo;Ajo en polvo en bolsa de 500 grs (Entregar 1 bolsa Mensual );Bolsa;6.0;76.949.781-1;FELIPE  SAN JUAN  VENTAS    E.I.R.L.;3000.0;6.0
1057532-3-L121;25;70141507;70141500;Servicios agrícolas, pesqueros, forestales y relacionados con la fauna / Producción, administración y protección de cultivos / Producción de cultivos;Producción de remolacha azucarera y caña de azúcar;Azúcar Flor Bolsa de 1 kilo (entregar 2 bolsas mensuales);Bolsa;12.0;76.949.781-1;FELIPE  SAN JUAN  VENTAS    E.I.R.L.;2500.0;12.0
1057532-3-L121;26;50202305;50202300;Alimentos, bebidas y tabaco / Bebidas / Bebidas no alcohólicas;Jugo en polvo;Jugo en Polvo bajo en azúcar (entregar 5 sobres Mensuales );Sobre;30.0;76.949.781-1;FELIPE  SAN JUAN  VENTAS    E.I.R.L.;350.0;30.0
1057532-3-L121;27;50221101;50221100;Alimentos, bebidas y tabaco / Cereales y Legumbres / Cereales;Granos de Cereales;Cereales bajo en azúcar (ejemplo: Cornflakees) (entrega de 3 cajas mensuales);Caja;18.0;76.949.781-1;FELIPE  SAN JUAN  VENTAS    E.I.R.L.;3000.0;18.0
1057976-16-LR20;1;72131702;72131700;Servicios de construcción y mantenimiento / Construcción de edificios en general / Construcción de obras civiles y infraestructuras;Construcción de obras civiles;Construcción Centro Diálisis, Purranque.;Unidad;1.0;;;0.0;0.0
