CodigoLicitacion;Correlativo;CodigoProducto;CodigoCategoria;Categoria;NombreProducto;DescripcionItem;UnidadMedida;Cantidad;RutGanador;NombreGanador;MontoUnitarioGanador;CantidadAdjudicada
1057922-7-LP25;1;42281508;42281500;Equipamiento y suministros médicos / Productos para la esterilización médica / Equipos y accesorios de esterilizadores y autoclaves;Esterilizadores o autoclaves de vapor;AUTOCLAVES + LAVADORA TERMODESINFECTADORA;Unidad;1.0;76.142.730-k;GEMCO GENERAL MACHINERY S.A.;120186176.0;1.0
1057532-35-LE25;1;73101701;73101700;Servicios de producción y fabricación industrial / Industrias de plásticos y productos químicos / Producción farmacéutica;Servicios de producción de medicamentos o medicinas;VILDAGLIPTINA 50 MG COMPRIMIDO SEGUN ESPECIFICACIONES TECNICAS.;Comprimido;120000.0;77.240.238-4;EMCURE PHARMA CHILE SPA;92.0;120000.0
1057532-40-LE25;1;91111901;91111900;Servicios de cuidado personal y domésticos / Servicio doméstico y de cuidados / Cuidado de niños, personas enfermas y ancianos;Jardines infantiles o salas cunas;15 CUPOS ADICIONALES SALA CUNA PARA HIJOS/AS FUNCIONARIAS SSO;Unidad;1.0;76.796.544-3;SOCIEDAD EDUCACIONAL SAN GABRIEL SPA;1.0;1.0
1057532-34-LE25;1;85121808;85121800;Salud, servicios sanitarios y alimentación / Medicina y servicios de salud / Laboratorios clínicos;Laboratorios de rayos X;SERVICIO DE EXAMENES CON INFORME RADIOLOGICO DE ECOTOMOGRAFIA ABDOMINAL Y MAMARIA PARA LOS HOSPITALES ACREDITADOS DEPENDIENTES DEL SERVICIO DE SALUD OSORNO, AÑO 2025;Unidad;1.0;;;0.0;0.0
1057922-12-LE25;1;40102001;40102000;Equipamiento para el acondicionamiento, distribución y filtrado de fluidos / Control de temperatura y ventilación / Calderas;Caldera de tubo de fuego;Caldera Mural GLP;Unidad;1.0;76.444.101-k;CLIMA DEL AIRE SPA;14950000.0;1.0
1057532-49-LE25;1;85121502;85121500;Salud, servicios sanitarios y alimentación / Medicina y servicios de salud / Servicios de atención primaria;Consultas de médicos de atención primaria;ADQUISICIÓN DE PRESTACIONES DE REHABILITACIÓN INTEGRAL PARA EVALUACIÓN DIAGNÓSTICA Y TRATAMIENTO EN NIÑOS, NIÑAS Y ADOLESCENTES CON TRASTORNO DEL ESPECTRO AUTISTA;Unidad;1.0;;;0.0;0.0
1057922-13-LP25;1;41122808;41122800;Equipamiento para laboratorios / Suministros para laboratorios / Estantes, soportes y bandejas de laboratorio;Bandejas de uso general;BANDEJA ACERO INOXIDABLE;Unidad;4.0;88.041.000-8;OLLER Y CIA LTDA;86919.0;4.0
1057922-13-LP25;2;42181515;42181500;Equipamiento y suministros médicos / Productos para exámenes y control de pacientes / Evaluación de diagnóstico y productos para examen de uso general;Bandejas de examen;BANDEJA EXAMEN (DIAGNÓSTICO DENTAL);Unidad;160.0;76.311.356-6;MAINZ MEDICAL SPA;44517.0;160.0
1057922-13-LP25;3;42152508;42152500;Equipamiento y suministros médicos / Equipos y suministros odontológicos / Suministros dentales generales;Jeringas dentales, agujas o jeringas con agujas;JERINGAS CARPULE;Unidad;120.0;76.311.356-6;MAINZ MEDICAL SPA;40241.0;120.0
1057922-13-LP25;4;42141606;42141600;Equipamiento y suministros médicos / Suministros y productos clínicos / Palanganas y bacinillas de cama y orinales y equipos de ingreso;Palanganas médicas para fines múltiples;RIÑÓN ACERO INOXIDABLE;Unidad;49.0;76.139.337-5;ENDOTEC S.A.;13881.0;49.0
