CodigoOrganismo;NombreOrganismo;CodigoOC;LinkMP;NombreOC;CodigoEstado;EstadoOC;CodigoLicitacion;TipoOC;TipoMoneda;Financiamiento;FormaPago;TipoDespacho;Pais;FechaCreacion;FechaEnvio;FechaAceptacion;FechaCancelacion;FechaUltimaModificacion;PromedioCalificacion;CantidadEvaluacion;TotalNeto;PorcentajeIva;Impuestos;TotalBruto;C_CodigoUnidad;C_Unidad;C_RutUnidad;C_Actividad;C_Direccion;C_Comuna;C_Region;C_Contacto;C_Cargo;C_Email;P_Codigo;P_Nombre;P_Rut;P_Actividad;P_Direccion;P_Comuna;P_Region;P_Contacto;P_Cargo;P_Email;DescripcionOC
1238663;Hospital Pü Mulen de Quilacahuín;1057533-90-CC24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1057533-90-CC24;INFORMES DE TELEELECTROCARDIOGRAMA A DISTANCIA ENERO 2024;12;Recepción Conforme;1057532-120-LE23;CC;CLP;;2;7;CL;2024-02-29T11:35:58.82;2024-02-29T12:53:13.22;2024-03-06T11:41:16.03;;2024-02-29T12:44:00;4.9;4;18000.0;0.0;0.0;18000.0;1057533;Bienes y Servicios;61.980.080-K;Servicio Público;Ruta U-10, Mision Quilacahuin;Osorno;Región de los Lagos ;Constanza Melendez;Abastecimiento;;66175;INTERNATIONAL TELEMEDICAL SYSTEMS CHILE SPA;96.995.590-3;VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.| ALQU;CALLAO N° 3341;Las Condes;Región Metropolitana de Santiago;Evelyn  Alfaro;Jefe de Licitaciones ;;"""SERVICIO DE INFORMES DE TELEELECTROCARDIOGRADIA A DISTANCIA PARA 12 ESTABLECIMIENTOS DE LA PROVICINCIA DE OSORNO 2024""    1057532-120-LE23 (RES. EXENTA N°111/11.01.2024)    NOTA: despachar con guías de despacho, una vez que se hayan entregado los productos emitir factura y enviar archivo XLM a la casilla de intercambio dipresrecepcion@custodium.com"
1238663;Hospital Pü Mulen de Quilacahuín;1057533-363-CC24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1057533-363-CC24;INFORMES DE TELE ECG APS JULIO 2024;12;Recepción Conforme;1057532-105-LR23;CC;CLP;;2;7;CL;2024-08-19T09:02:24.143;2024-08-20T14:06:12.873;2024-08-20T14:39:01.09;;2024-08-19T09:07:00;0.0;0;84420.0;0.0;0.0;84420.0;1057533;Bienes y Servicios;61.980.080-K;Servicio Público;Ruta U-10, Mision Quilacahuin;Osorno;Región de los Lagos ;Constanza Melendez;Abastecimiento;;1150223;INSTITUTO DE SALUD Y TECNOLOGIA DE CHILE LIMITADA;76.077.047-7;OTROS PROFESIONALES DE LA SALUD| OTRAS ACTIVIDADES;Diagonal Paraguay 481, Oficina 48;Santiago Centro;Región Metropolitana de Santiago;Cristian Vidal;Jefe Post venta y Soporte;;INFORMES DE TELE ECG A DISTANCIA ID 1057532-105-LR23 JULIO 2024    NOTA: despachar con guías de despacho, una vez que se hayan entregado los productos emitir factura y enviar archivo XLM a la casilla de intercambio dipresrecepcion@custodium.com
1238663;Hospital Pü Mulen de Quilacahuín;1057533-367-CC24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1057533-367-CC24;Servicios de Manejo REAS mes de JULIO 2024;12;Recepción Conforme;1057532-41-LR22;CC;CLP;;2;7;CL;2024-08-19T12:13:15.24;2024-08-22T13:09:03.483;2024-08-22T14:11:35.86;;2024-08-19T12:17:00;4.533333333333333;18;198900.0;19.0;37791.0;236691.0;1057533;Bienes y Servicios;61.980.080-K;Servicio Público;Ruta U-10, Mision Quilacahuin;Osorno;Región de los Lagos ;Constanza Melendez;Abastecimiento;;27533;PROCESOS SANITARIOS S P A;96.697.710-8;OTRAS ACTIVIDADES EMPRESARIALES N.C.P.| RECOGIDA Y;Cerro el Roble 9661;Quilicura;Región Metropolitana de Santiago;Betzabe Uribe;Ejecutivo;;Servicios de Manejo REAS mes de JULIO 2024  1057532-41-LR22    NOTA: despachar con guías de despacho, una vez que se hayan entregado los productos emitir factura y enviar archivo XLM a la casilla de intercambio dipresrecepcion@custodium.com
1238663;Hospital Pü Mulen de Quilacahuín;1057533-385-AG24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1057533-385-AG24;Insumos Laboratorio compra ágil: 1057533-164-COT24;12;Recepción Conforme;;AG;CLP;;2;12;Other;2024-08-28T14:38:22.937;2024-08-28T16:40:17.153;2024-09-03T15:17:19.533;;2024-08-28T14:48:00;2.9363636363636365;44;188500.0;19.0;35815.0;224315.0;1057533;Bienes y Servicios;61.980.080-K;Servicio Público;;San Pablo;Región de los Lagos ;Daniel Rosas;Administrativo;;139257;EDUARDO AWAD MANZUR;76.205.148-6;Comercial;RAMON ROSALES N° 1288;Quilicura;Región Metropolitana de Santiago;Eduardo  Awad;Gerente de Venta;;INSUMOS PARA EJECUCION DE EXAMENES  Informar datos mínimos indicados en normativa 226  referente a los Dispositivos Médicos    El conjunto mínimo de datos deberá incluir:                                                                                                                                                                                                  •	Nombre del producto  •	Identificación del proveedor   •	N° de guía/factura   •	Modelo, cuando corresponda (marcapasos, ayudas técnicas, implantes, otros)  •	N° de lote/Serie  •	Fechas de vencimiento  •	Consignación de dispositivo medico     REFERENTE: GLORIA ARISMENDI / DESPACHO 5 DIAS ENVIADA OC / D.R
1238663;Hospital Pü Mulen de Quilacahuín;1057533-364-CC24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1057533-364-CC24;INFORMES DE TELEELECTROCARDIOGRAMA A DISTANCIA JULIO;12;Recepción Conforme;1057532-120-LE23;CC;CLP;;2;7;CL;2024-08-19T09:51:06.83;2024-08-22T15:32:23.77;2024-08-22T15:36:57.8;;2024-08-19T09:54:00;4.9;4;40500.0;0.0;0.0;40500.0;1057533;Bienes y Servicios;61.980.080-K;Servicio Público;Ruta U-10, Mision Quilacahuin;Osorno;Región de los Lagos ;Constanza Melendez;Abastecimiento;;66175;INTERNATIONAL TELEMEDICAL SYSTEMS CHILE SPA;96.995.590-3;VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.| ALQU;CALLAO N° 3341;Las Condes;Región Metropolitana de Santiago;Evelyn  Alfaro;Jefe de Licitaciones ;;"""SERVICIO DE INFORMES DE TELEELECTROCARDIOGRADIA A DISTANCIA PARA 12 ESTABLECIMIENTOS DE LA PROVICINCIA DE OSORNO 2024""    1057532-120-LE23 (RES. EXENTA N°111/11.01.2024)    NOTA: despachar con guías de despacho, una vez que se hayan entregado los productos emitir factura y enviar archivo XLM a la casilla de intercambio dipresrecepcion@custodium.com"
1238663;Hospital Pü Mulen de Quilacahuín;1057533-343-AG24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1057533-343-AG24;Agua Desionizada compra ágil: 1057533-137-COT24;12;Recepción Conforme;;AG;CLP;;2;12;Other;2024-07-30T14:45:34.367;2024-07-30T15:33:50.92;2024-07-30T20:13:17.723;;2024-07-30T14:50:00;0.0;0;252096.0;19.0;47898.0;299994.0;1057533;Bienes y Servicios;61.980.080-K;Servicio Público;;San Pablo;Región de los Lagos ;Daniel Rosas;Administrativo;;1657614;RIGOBERTO;76.963.745-1;CAPTACION ,TRATAMIENTO Y PURIFICACION DE AGUA;PASAJE NUEVO 46 N° 3006;Puerto Montt;Región de los Lagos ;RIGOBERTO ANGULO GUTIERREZ;COMERCIAL ;;COMPRA DESIONIZADA DESMINERALIZADA  PARA AUTOCLAVE  Y LAVADO DE MATERIAL ESTERIL    NOTA: despachar con guías de despacho, una vez que se hayan entregado los productos emitir factura y enviar archivo XLM a la casilla de intercambio dipresrecepcion@custodium.com
1238663;Hospital Pü Mulen de Quilacahuín;1057533-317-CC24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1057533-317-CC24;Compra de Medicamentos Convenio de Suministro;12;Recepción Conforme;1057532-36-R123;CC;CLP;;2;7;CL;2024-07-15T11:07:52.25;2024-07-15T11:16:20.82;2024-09-12T12:25:52.63;;2024-07-15T11:14:00;4.042857142857143;14;230400.0;19.0;43776.0;274176.0;1057533;Bienes y Servicios;61.980.080-K;Servicio Público;Ruta U-10, Mision Quilacahuin;Osorno;Región de los Lagos ;Constanza Melendez;Abastecimiento;;25226;LABORATORIO PASTEUR S.A.;87.674.400-7;FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS;I.SERRANO Nº568;Concepción;Región del Biobío ;Roberto Vega;Gerente General;;compra de medicamentos convenio de suministro  LP 1057532-36-R123 (INDICAR DM EN GUIA DE DESPACHO, FACTURA O ADJUNTAR DOCUMENTO, SEGUN INDICA NORMA TECNICA N°226)     NOTA: despachar con guías de despacho, una vez que se hayan entregado los productos emitir factura y enviar archivo XLM a la casilla de intercambio dipresrecepcion@custodium.com
1238663;Hospital Pü Mulen de Quilacahuín;1057533-386-AG24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1057533-386-AG24;Insumos Toma de Muestras compra ágil: 1057533-166-COT24;12;Recepción Conforme;;AG;CLP;1287;2;12;Other;2024-08-28T15:30:01.98;2024-08-28T16:25:15.273;2024-08-28T16:40:45.517;;2024-08-28T15:35:00;0.0;0;143100.0;19.0;27189.0;170289.0;1057533;Bienes y Servicios;61.980.080-K;Servicio Público;;San Pablo;Región de los Lagos ;Daniel Rosas;Administrativo;;1773777;SCM PHARMA SPA;77.337.544-5;VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES;PROVIDENCIA 1208 OF 1603 16P N° No hay Dato;Providencia;Región Metropolitana de Santiago;Ricardo Carmona;Supervisor comercial;;INSUMOS TOMA DE MUSTRAS STOCK LABORATORIO  INSUMOS PARA EJECUCION DE EXAMENES    Informar datos mínimos indicados en normativa 226  referente a los Dispositivos Médicos  El conjunto mínimo de datos deberá incluir:                                                                                                                                                                                                  •	Nombre del producto  •	Identificación del proveedor   •	N° de guía/factura   •	Modelo, cuando corresponda (marcapasos, ayudas técnicas, implantes, otros)  •	N° de lote/Serie  •	Fechas de vencimiento  •	Consignación de dispositivo medico     REFERENTE: GLORIA ARISMENDI / DESPACHO 5 DIAS ENVIADA OC / D.R
1238663;Hospital Pü Mulen de Quilacahuín;1057533-323-CC24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1057533-323-CC24;INFORMES DE TELEELECTROCARDIOGRAMA A DISTANCIA JUNIO;12;Recepción Conforme;1057532-120-LE23;CC;CLP;;2;7;CL;2024-07-23T16:04:36.883;2024-08-20T14:11:57.31;2024-08-20T16:12:19.49;;2024-07-23T16:08:00;4.9;4;4500.0;0.0;0.0;4500.0;1057533;Bienes y Servicios;61.980.080-K;Servicio Público;Ruta U-10, Mision Quilacahuin;Osorno;Región de los Lagos ;Constanza Melendez;Abastecimiento;;66175;INTERNATIONAL TELEMEDICAL SYSTEMS CHILE SPA;96.995.590-3;VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.| ALQU;CALLAO N° 3341;Las Condes;Región Metropolitana de Santiago;Evelyn  Alfaro;Jefe de Licitaciones ;;"""SERVICIO DE INFORMES DE TELEELECTROCARDIOGRADIA A DISTANCIA PARA 12 ESTABLECIMIENTOS DE LA PROVICINCIA DE OSORNO 2024""    1057532-120-LE23 (RES. EXENTA N°111/11.01.2024)    NOTA: despachar con guías de despacho, una vez que se hayan entregado los productos emitir factura y enviar archivo XLM a la casilla de intercambio dipresrecepcion@custodium.com"
1238663;Hospital Pü Mulen de Quilacahuín;1057533-366-CC24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1057533-366-CC24;MANTENIMIENTO CORRECTIVA ECOGRAFO SIEMENS;12;Recepción Conforme;1057532-69-LE23;CC;CLP;;2;7;CL;2024-08-19T12:02:07.817;2024-08-22T13:03:13.03;2024-08-23T22:21:17.177;;2024-08-19T12:08:00;0.0;0;300000.0;19.0;57000.0;357000.0;1057533;Bienes y Servicios;61.980.080-K;Servicio Público;Ruta U-10, Mision Quilacahuin;Osorno;Región de los Lagos ;CONSTANZA MELENDEZ;Abastecimiento;;1577747;Medland Ingeniería S.p.A ;76.763.275-4;REPARACIÓN DE EQUIPO MÉDICO Y QUIRÚRGICO, Y DE APA;GRAN AVENIDA J.M. CARRERA N° 14325;San Bernardo;Región Metropolitana de Santiago;Iván Marambio Ferretto;Representante legal;;MANTENIMIENTO CORRECTIVA ECOGRAFO SIEMENS, INFORME TÉCNICO N°1164/2024, LP 1057532-69-LE23    NOTA: enviar la factura, archivos XLM a la casilla de intercambio dipresrecepcion@custodium.com
